iter	RMSE
962	46912.54224
963	46890.3666
964	46887.16663
965	46883.99165
966	46825.5022
967	46774.5473
968	46750.10911
969	46746.94511
970	46743.79662
971	46671.38029
972	46570.1121
973	46548.31316
974	46514.0727
975	46489.54195
976	46464.77948
977	46442.92762
978	46421.19445
979	46399.60468
980	46375.70788
981	46373.75729
982	46307.18165
983	46291.25998
984	46289.32825
985	46264.83342
986	46259.34559
987	46253.92742
988	46232.5543
989	46227.20439
990	46225.56894
991	46184.26108
992	46168.5914
993	46103.25671
994	46054.98539
995	46050.18109
996	46048.06172
997	46032.66995
998	46029.61812
999	46008.33449
1000	46003.07017
1001	45932.38366
1002	45891.75708
1003	45876.58821
1004	45853.36553
1005	45783.11322
1006	45759.38328
1007	45738.79538
1008	45725.21285
1009	45684.81213
1010	45669.92277
1011	45621.91475
1012	45620.06615
1013	45605.39621
1014	45603.57249
1015	45600.92885
1016	45553.44546
1017	45550.20688
1018	45529.3431
1019	45506.37625
1020	45485.67923
1021	45450.19964
1022	45403.59033
1023	45401.90651
1024	45387.4782
1025	45366.99413
1026	45347.03373
1027	45345.33352
1028	45340.1834
1029	45319.47122
1030	45315.63624
1031	45313.91182
1032	45274.47784
1033	45235.34501
1034	45233.58554
1035	45213.80314
1036	45179.84574
1037	45176.04733
1038	45174.34039
1039	45171.2219
1040	45125.28223
1041	45120.23193
1042	45118.54262
1043	45097.95843
1044	45096.28044
1045	45093.85221
1046	45088.63224
1047	45065.83241
1048	45063.57748
1049	45024.82564
1050	45022.42941
1051	45020.05493
1052	45017.70174
1053	44998.12767
1054	44995.79391
1055	44993.4806
1056	44982.82101
1057	44962.49235
1058	44960.68347
1059	44946.83995
1060	44945.29224
1061	44931.37124
1062	44915.126
1063	44913.71649
1064	44911.96003
1065	44873.40045
1066	44870.60915
1067	44868.86353
1068	44855.49567
1069	44853.77001
1070	44852.05518
1071	44832.23525
1072	44812.50145
1073	44779.88597
1074	44778.17492
1075	44739.84252
1076	44717.52563
1077	44704.41279
1078	44684.49928
1079	44682.80282
1080	44681.11734
1081	44647.89709
1082	44615.80659
1083	44555.23441
1084	44536.6723
1085	44502.96227
1086	44500.809
1087	44499.13655
1088	44480.66458
1089	44458.00904
1090	44438.9334
1091	44415.26687
1092	44390.12358
1093	44388.2683
1094	44386.42707
1095	44384.5994
1096	44382.7848
1097	44380.98285
1098	44379.19316
1099	44360.29576
1100	44326.8169
1101	44325.03481
1102	44306.45963
1103	44304.68845
1104	44303.33747
1105	44284.6559
1106	44282.90105
1107	44281.15996
1108	44279.42973
1109	44277.7101
1110	44256.63629
1111	44235.74574
1112	44206.49551
1113	44188.12708
1114	44186.40901
1115	44167.89822
1116	44158.64804
1117	44140.24571
1118	44119.77069
1119	44115.78032
1120	44111.81366
1121	44074.21423
1122	44052.99352
1123	44051.27831
1124	44018.23228
1125	43965.1864
1126	43927.87513
1127	43922.78002
1128	43902.51623
1129	43866.29242
1130	43848.63604
1131	43827.4653
1132	43823.95164
1133	43819.52195
1134	43783.77564
1135	43748.38123
1136	43730.34628
1137	43695.34651
1138	43661.55631
1139	43624.52747
1140	43595.30669
1141	43564.12494
1142	43547.53684
1143	43516.27646
1144	43511.31215
1145	43491.76312
1146	43460.78392
1147	43441.29108
1148	43410.69188
1149	43407.58818
1150	43390.27362
1151	43370.41383
1152	43336.40528
1153	43331.46412
1154	43319.74819
1155	43300.92338
1156	43283.90147
1157	43263.49717
1158	43235.29835
1159	43223.6335
1160	43203.41145
1161	43170.11247
1162	43151.37491
1163	43146.12778
1164	43140.83931
1165	43124.79489
1166	43098.31015
1167	43081.57607
1168	43048.78156
1169	43019.93896
1170	42987.48954
1171	42955.31967
1172	42937.11617
1173	42915.25626
1174	42895.88953
1175	42876.70558
1176	42847.04431
1177	42832.17416
1178	42802.70041
1179	42776.32198
1180	42758.38539
1181	42699.26576
1182	42670.12038
1183	42665.25984
1184	42636.29666
1185	42610.37444
1186	42595.87708
1187	42591.03901
1188	42573.44186
1189	42548.32218
1190	42519.86212
1191	42491.5803
1192	42466.42284
1193	42452.27681
1194	42424.32039
1195	42407.06422
1196	42390.01862
1197	42372.38678
1198	42354.86859
1199	42337.46108
1200	42310.01599
1201	42293.33827
1202	42256.10114
1203	42230.60607
1204	42203.45384
1205	42171.0129
1206	42142.86534
1207	42137.96069
1208	42133.08492
1209	42100.87934
1210	42083.8754
1211	42061.87332
1212	42057.04919
1213	42052.34676
1214	42026.85737
1215	42000.05864
1216	41985.60225
1217	41959.01558
1218	41954.28708
1219	41938.28136
1220	41901.55612
1221	41885.62157
1222	41853.84867
1223	41849.20759
1224	41812.92643
1225	41781.65913
1226	41751.52942
1227	41746.90268
1228	41725.28434
1229	41678.26097
1230	41673.67882
1231	41668.45118
1232	41652.60614
1233	41621.91361
1234	41600.46986
1235	41570.86196
1236	41549.6811
1237	41530.90322
1238	41504.50214
1239	41488.77125
1240	41470.14517
1241	41443.95129
1242	41423.32017
1243	41404.58043
1244	41385.69678
1245	41369.52332
1246	41364.81192
1247	41348.61624
1248	41332.52109
1249	41306.55309
1250	41301.94436
1251	41286.54164
1252	41255.90665
1253	41251.43243
1254	41246.55135
1255	41242.12679
1256	41217.85755
1257	41194.19806
1258	41189.79773
1259	41185.42151
1260	41181.06515
1261	41179.6886
1262	41133.43304
1263	41103.1087
1264	41044.21274
1265	41014.30812
1266	40999.02891
1267	40994.29987
1268	40989.36741
1269	40974.16862
1270	40939.08026
1271	40934.81239
1272	40905.42843
1273	40887.24707
1274	40863.1383
1275	40848.11252
1276	40819.32222
1277	40815.03425
1278	40800.14619
1279	40795.50937
1280	40744.74385
1281	40730.967
1282	40716.21632
1283	40698.18408
1284	40683.4708
1285	40675.1043
1286	40657.26293
1287	40639.6207
1288	40635.40313
1289	40621.78859
1290	40606.84728
1291	40591.73806
1292	40582.98414
1293	40565.51118
1294	40556.83031
1295	40552.67606
1296	40524.47411
1297	40520.33905
1298	40519.01689
1299	40400.04184
1300	40391.47197
1301	40387.36013
1302	40383.25281
1303	40349.54335
1304	40338.97777
1305	40324.6304
1306	40313.51952
1307	40309.46635
1308	40296.2917
1309	40291.3414
1310	40288.00944
1311	40283.85926
1312	40266.29103
1313	40238.79708
1314	40237.48736
1315	40208.46045
